superior 1, inferior 0
thick 1, thin 0
loud 1, soft 0
complex 1, simple 0
long 1, short 0
many 1, few 0
high 1, low 0
hot 1, cold 0
active 1, passive 0
wet 1, dry 0
hard 1, soft 0
future 1, past 0
late 1, early 0
dark 1, light 0
black 1, white 0
far 1, close 0
deep 1, shallow 0
major 1, minor 0
tall 1, short 0
old 1, young 0
old 1, new 0
solid 1, liquid 0
hard 1, easy 0
difficult 1, easy 0
curly 1, straight 0
big 1, small 0
large 1, small 0
fast 1, slow 0
heavy 1, light 0
joint 1, separate 0
broad 1, narrow 0
rich 1, poor 0
full 1, empty 0
present 1, absent 0
good 1, bad 0
positive 1, negative 0
fat 1, thin 0
strong 1, weak 0
polite 1, rude 0
expensive 1, cheap 0
more 1, less 0
best 1, worst 0
busy 1, free 0
noisy 1, quiet 0
frequent 1, rare 0
whole 1, fractional 0
cheerful 1, depressing 0
permanent 1, temporary 0
senior 1, junior 0
confident 1, shy 0
colorful 1, colorless 0
careful 1, careless 0
clear 1, unclear 0
comfortable 1, uncomfortable 0
sweet 1, bitter 0
right 1, wrong 0
beneficent 1, maleficent 0
ambitious 1, unambitious 0
fair 1, unfair 0
useful 1, useless 0
emotional 1, unemotional 0
alive 1, dead 0
sharp 1, blunt 0
interesting 1, boring 0
intelligent 1, stupid 0
warm 1, cool 0
modern 1, ancient 0
accurate 1, inaccurate 0
beautiful 1, ugly 0
cheerful 1, sad 0
clever 1, stupid 0
correct 1, wrong 0
famous 1, unknown 0
giant 1, small 0
loyal 1, disloyal 0
merry 1, sad 0
patient 1, impatient 0
plural 1, singular 0
possible 1, impossible 0
powerful 1, weak 0
pretty 1, ugly 0
public 1, private 0
qualified 1, unqualified 0
rapid 1, slow 0
regular 1, irregular 0
real 1, fake 0
smooth 1, rough 0
secure 1,  insecure 0
sober 1, drunk 0
vacant 1, occupied 0
visible 1, invisible 0
confident 1, afraid 0
arrogant 1, humble 0
specific 1, random 0
married 1, single 0
worthy 1, unworthy 0
fresh 1, stale 0
extraordinary 1, ordinary 0
concrete 1, abstract 0
healthy 1, unhealthy 0
