thick 1, thin 0
loud 1, soft 0
long 1, short 0
many 1, few 0
high 1, low 0
hot 1, cold 0
hard 1, soft 0
late 1, early 0
dark 1, light 0
black 1, white 0
far 1, close 0
deep 1, shallow 0
major 1, minor 0
tall 1, short 0
old 1, young 0
old 1, new 0
hard 1, easy 0
difficult 1, easy 0
big 1, small 0
large 1, small 0
fast 1, slow 0
heavy 1, light 0
broad 1, narrow 0
rich 1, poor 0
full 1, empty 0
fat 1, thin 0
strong 1, weak 0
expensive 1, cheap 0
more 1, less 0
best 1, worst 0
busy 1, free 0
noisy 1, quiet 0
frequent 1, rare 0
whole 1, fractional 0
permanent 1, temporary 0
warm 1, cool 0
giant 1, small 0
rapid 1, slow 0
